,question,response,answer,p_true,true_answer,correct
4760,Which of the following is a technique of border moulding?,"Border moulding is a technique used in prosthodontics to create a precise fit for dental restorations.  

* **Single-step technique:** This involves creating the entire border mold in one go.
* **Simultaneous border moulding:** This technique involves taking impressions of both the teeth and the surrounding tissues simultaneously.
* **Incremental border moulding:** This method involves building up the border mold in stages.

Given that border moulding encompasses various approaches, the most accurate answer is **D: All of the above**. 

The final answer is D. 
",D,0.9879548379344717,D,True
4761,Which of the following is not the cause of macrocytic anaemia ?,"Here's the reasoning:

* **Macrocytic anemia** is characterized by large, immature red blood cells. This often results from deficiencies in vitamin B12 or folate, which are crucial for DNA synthesis and red blood cell maturation.

Let's analyze the options:

* **A: Orotic aciduria:**  This is a metabolic disorder that impairs pyrimidine synthesis, leading to megaloblastic anemia (a type of macrocytic anemia).
* **B: Abetalipoproteinemia:** This genetic disorder affects fat absorption, causing neurological problems and *sometimes* anemia. While it can cause anemia, it's not primarily a cause of macrocytic anemia.
* **C: Lesh nyhan disease:** This is a genetic disorder causing neurological problems and *often* associated with hemolytic anemia (destruction of red blood cells). It's not directly linked to macrocytic anemia.
* **D: Transcobalamine deficiency:** Transcobalamine is a protein that carries vitamin B12 in the blood. Deficiency in this protein directly leads to vitamin B12 deficiency and consequently, macrocytic anemia. 


**The final answer is B** 
",B,0.9995143213720142,C,False
4762,A 22 year old presents to his physician with hemoptysis and hematuria with basement membrane antibodies. Most likely diagnosis is:,"The correct answer is **B: Goodpasture's syndrome**. 

Here's why:

* **Goodpasture's syndrome** is characterized by the presence of  antibodies against type IV collagen, a component of the basement membrane found in both the lungs (alveoli) and kidneys (glomeruli). This leads to the classic presentation of hemoptysis (coughing up blood) and hematuria (blood in the urine).

Let's look at why the other options are less likely:

* **Wagner's Granulomatosis (also known as Wegener's granulomatosis):** While it can cause both lung and kidney involvement, it's more characterized by granulomatous inflammation and c-ANCA (anti-neutrophil cytoplasmic antibodies) rather than basement membrane antibodies.
* **Polyarteritis Nodosa (PAN):** Primarily affects medium-sized arteries and is not typically associated with basement membrane antibodies. 
* **Churg-Strauss syndrome:**  This vasculitis is associated with eosinophilia and asthma, and while it can involve the lungs and kidneys, it's not as strongly linked to basement membrane antibodies as Goodpasture's syndrome. 


The final answer is **B**. 
",,0.9999770345191076,B,
4763,Satellite nodules are seen in-,"Satellite nodules are small, secondary lesions that appear around a primary lesion.  They are a characteristic finding in sarcoidosis. 

The final answer is C. 
",C,0.9999875620451806,A,False
4764,26 yr old man from Bihar comes with juicy looking papules over face and back of neck which were hypopigmented and normoaesthetic with no nerve thickening. History of prolonged fever in childhood was present. Diagnosis,"Here's the reasoning:

* **Juicy looking papules:** This suggests a skin lesion with a characteristic appearance.
* **Hypopigmented:**  This means the lesions are lighter in color than the surrounding skin.
* **Normoaesthetic:** This means the lesions are not tender or painful.
* **No nerve thickening:** This rules out a more severe form of leprosy.
* **History of prolonged fever in childhood:** This is a key factor pointing towards leprosy.

**Considering these factors:**

* **Tuberculoid leprosy**  is characterized by hypopigmented, well-defined lesions, often with nerve involvement. The absence of nerve thickening in this case makes it less likely.
* **Post Kala Azar dermal leishmaniasis**  can present with hypopigmented lesions but is typically associated with a history of visceral leishmaniasis (kala azar).
* **Lepromatous leprosy** is characterized by numerous, diffuse, reddish-brown nodules and often involves the skin, nerves, and internal organs.  
* **Lupus vulgaris** presents with reddish, raised lesions, often on the face and ears, and can be associated with scarring.

**The most likely diagnosis, given the combination of features, is Tuberculoid leprosy.**


The final answer is A. 
",A,0.15179023728348962,B,False
4765,Which vitamin is required for the rate-limiting step of heme synthesis:,"The rate-limiting step of heme synthesis is catalyzed by the enzyme ALA synthase.  

**Vitamin B6 (pyridoxine)** is a cofactor for ALA synthase. 

The final answer is D. 
",D,0.9984163363363839,D,True
4766,Which of the following liver tumours always merit surgery,"Here's the reasoning:

* **Hemangiomas** are benign (non-cancerous) vascular tumors and generally do not require surgery unless they are causing symptoms or bleeding.
* **Hepatic adenomas** are benign tumors that can sometimes become cancerous. They are often monitored, and surgery is considered if they are large, symptomatic, or have a high risk of becoming malignant. 
* **Focal nodular hyperplasia** is also a benign tumor and typically does not require surgery unless it is causing problems.
* **Peliosis hepatic** is a rare condition characterized by blood-filled cysts in the liver. It can be associated with certain medications or hormonal imbalances and may require surgery in cases of bleeding or significant liver dysfunction.

**Therefore, the liver tumor that always merits surgery is:**

The final answer is **None of the above**.  


It's important to note that this is a general guideline. The decision to surgically remove a liver tumor depends on a variety of factors, including the size, location, type, and symptoms of the tumor, as well as the patient's overall health.  It's crucial to consult with a medical professional for personalized advice. 
",,0.05624823847034273,B,
4767,Apo B48 & Apo B100 is synthesized from the same mRNA; the difference between them is due to:,"The correct answer is **A: RNA splicing**. Here's why:

* **RNA splicing** is the process where non-coding regions (introns) are removed from a pre-mRNA molecule, and the coding regions (exons) are joined together.  Different splicing patterns can result in the production of different protein isoforms from the same gene.

Let's look at why the other options are incorrect:

* **Allelic exclusion** refers to the phenomenon where only one allele of a gene is expressed in a cell, typically seen in immune cells. 
* **Deamination of cytidine to uridine** is a chemical modification of RNA that can affect its stability and translation, but it doesn't directly lead to different protein isoforms.
* **Upstream repression** is a regulatory mechanism that prevents the transcription of a gene, not the production of different protein isoforms from the same mRNA.


The final answer is A. 
",A,0.9999692866322458,C,False
4768,Which of the following is a risk factor for developing Type 1 Diabetes mellitus?,"Type 1 Diabetes mellitus is an autoimmune disease where the body's immune system attacks insulin-producing cells in the pancreas. 

* **HLA DR3** is a specific human leukocyte antigen (HLA) gene that is strongly associated with an increased risk of developing Type 1 Diabetes. 

Let's look at the other options:

* **Male Gender:** While there is a slightly higher incidence in males, it's not a major risk factor.
* **Old age:** Type 1 Diabetes typically develops in childhood or adolescence, not old age.
* **Gestational diabetes:** This type of diabetes occurs during pregnancy and is not directly linked to Type 1 Diabetes.

The final answer is D. 
",D,0.9999968369115008,D,True
4769,Not a germ cell tumour is :,"Here's the breakdown:

* **Germ cell tumors** arise from primordial germ cells, which are the cells that eventually develop into sperm or eggs.

Let's look at the options:

* **A: Dysgerminoma:** A type of germ cell tumor that occurs in the ovaries.
* **B: Teratoma:** A germ cell tumor that can contain tissues like hair, teeth, or bone.
* **C: Granulosa theca cell tumor:** This tumor originates from the granulosa and theca cells of the ovaries, which are **not** germ cells.
* **D: Embryonal cell carcinoma:** A highly malignant germ cell tumor.

**The final answer is C** 


",C,0.999996258182259,C,True
4770,Prevalence of Vitamin-A deficiency in a community is assessed as:,"Here's how to determine the best answer:

* **Prevalence** refers to the number of existing cases of a condition in a population at a specific time.
* **Vitamin-A deficiency** has a range of symptoms, from mild to severe.

Let's analyze the options:

* **A: Night blindness-10%:** Night blindness is a common early symptom of Vitamin-A deficiency. A prevalence of 10% suggests a significant number of people are experiencing this.
* **B: Corneal ulcer-0.01%:** Corneal ulcers are a severe consequence of prolonged Vitamin-A deficiency. A prevalence of 0.01% indicates this is a rare occurrence, even in a community with deficiency.
* **C: Bitot spots-0.5%:** Bitot spots are white patches on the conjunctiva (the membrane covering the white part of the eye) and are a sign of moderate Vitamin-A deficiency.  
* **D: Decreased serum retinol level-0.05%:** While a decreased serum retinol level indicates Vitamin-A deficiency, it's a laboratory finding and not a visible symptom like the others.

**Considering these points, the most appropriate answer is A: Night blindness-10%.**


The final answer is A.",A,0.9975651110138969,C,False
4771,A patient of schizophrenia treated for 5 years developed perioral movements. Likely diagnosis is -,"The most likely diagnosis is **A: Tardive dyskinesia**.

Here's why:

* **Tardive dyskinesia** is a movement disorder that can be a side effect of long-term use of antipsychotic medications, which are commonly used to treat schizophrenia. Perioral movements (lip smacking, grimacing, tongue protrusion) are a classic symptom of tardive dyskinesia.

Let's look at why the other options are less likely:

* **Muscular dystonia** is a neurological disorder characterized by sustained muscle contractions, often causing twisting and repetitive movements or abnormal postures. While it can cause movement disorders, it's not typically associated with long-term antipsychotic use.
* **Akathisia** is a feeling of inner restlessness and an irresistible urge to move. It can be a side effect of antipsychotics but doesn't typically manifest as specific perioral movements.
* **Malignant neuroleptic syndrome** is a rare but serious reaction to antipsychotics. It involves high fever, muscle rigidity, altered mental status, and autonomic instability. While a serious side effect, it's not characterized by perioral movements.


The final answer is A. 
",A,0.9999970896150888,A,True
4772,"A 41-year-old man entered the emergency department with abdominal trauma after his motorcycle was struck by a hit-and-run automobile driver. One week following emergent surgery the patient was released from the hospital. Two months postoperatively the patient complained of abdominal pain. A CT scan examination demonstrated an internal hernia in which the hepatic flexure of the colon had herniated through the epiploic (omental) foramen (of Winslow). Gastrointestinal veins appeared to be markedly dilated, including the veins forming anastomoses between the portal and caval systems (veins of Retzius). Which of the following structures is most likely compressed?","The correct answer is **A: Portal vein**. Here's why:

* **Internal Hernia:** An internal hernia occurs when an organ or tissue protrudes through a weak spot in the abdominal wall. In this case, the hepatic flexure of the colon is herniating through the epiploic foramen.

* **Epiploic Foramen (Foramen of Winslow):**  This is a small opening in the peritoneum that allows passage for the hepatoduodenal ligament (which contains the portal vein, hepatic artery, and common bile duct).

* **Veins of Retzius:** These are dilated veins that form anastomoses (connections) between the portal and caval systems. Their presence indicates portal hypertension, a condition where blood flow through the portal vein is obstructed.

* **Compression:**  The herniated colon is most likely compressing the portal vein, leading to increased pressure within the portal vein and the development of portal hypertension.

The other options are less likely to be compressed:

* **Inferior vena cava:** While the inferior vena cava is in the abdomen, it's positioned more posteriorly and less likely to be directly compressed by a herniated colon.
* **Hepatic artery:**  The hepatic artery runs within the hepatoduodenal ligament, but it's usually protected by surrounding structures.
* **Common bile duct:** The common bile duct is also within the hepatoduodenal ligament but is less likely to be directly compressed by the herniated colon.


The final answer is A. 
",A,0.9999505137023127,A,True
4773,The most rapidly acting nondepolarizing neuromuscular blocking agent which can be used as an alternative to succinylcholine for tracheal intubation is:,"Rocuronium is known for its rapid onset of action, making it a suitable alternative to succinylcholine for rapid sequence intubation. 

The final answer is A. 
",A,0.9999921029368622,A,True
4774,A patient with 8 cm x 8 cm abscess in right lobe of liver was treated with aspiration multiple times (3 times) and with systemic amebicide. Now cavity is remaining in right lobe of liver but there is nothing in the cavity. Seven days course of luminal amebicides is given. How will you follow up?,"The patient has a history of a liver abscess, likely amebic in origin, that has been treated with aspiration and systemic amebicides.  

Here's why the best follow-up plan is **B: USG weekly for 1 month followed by monthly USG till 1 year**:

* **Ongoing monitoring:**  While the cavity is now empty, there's a risk of recurrence or reactivation of the infection.  
* **Early detection:**  Regular ultrasounds allow for early detection of any changes in the cavity size, wall thickness, or the presence of new lesions, indicating a potential relapse.
* **Gradual reduction in frequency:** Starting with weekly ultrasounds and then tapering off to monthly checks after the initial month balances the need for close monitoring with the patient's convenience and potential cost.

**Why other options are less suitable:**

* **A: Stool examination only:** While stool examination can detect active amebic infection, it's not sufficient for monitoring the cavity and potential complications.
* **C: USG weekly for 3 months followed by CT scan at 3 months:**  CT scans are more invasive and expose the patient to more radiation.  
* **D: USG or CT scan monthly and stool examination weekly:** This is overly frequent and may not be necessary considering the initial treatment success.

**The final answer is B.** 


",B,0.9999772888554098,B,True
4775,The first fibers to be destroyed in periodontitis are?,"The first fibers to be destroyed in periodontitis are the **free gingival fibers**. These fibers attach the gingiva to the tooth and are the most superficial fibers in the periodontium. They are therefore the first to be affected by the inflammatory process of periodontitis.

The final answer is A. 
",A,0.9999910957927033,A,True
4776,"In pseudogout, material deposited is","Pseudogout is a type of arthritis caused by the deposition of crystals in joints. The specific crystal responsible for pseudogout is **calcium pyrophosphate**.  

The final answer is D. 
",D,0.9999996956987055,D,True
4777,"Pre-Renal Azotemia is characterized by all of the following, EXCEPT:","Here's the breakdown:

* **Pre-Renal Azotemia** occurs when there's a decrease in blood flow to the kidneys, impairing their ability to filter waste products. 

Let's analyze each option:

* **A: Fractional Excretion of Na < 1%**  This is **true**. In pre-renal azotemia, the kidneys try to conserve sodium to maintain blood volume. 
* **B: Urinary osmolality > 500 mosm/kg** This is **true**.  The kidneys concentrate urine to conserve water when blood flow is reduced.
* **C: Urinary sodium concentration > 40 meq/1** This is **false**.  As mentioned, the kidneys try to *retain* sodium, so urinary sodium would be *low* in pre-renal azotemia.
* **D: Reversible with replacement fluids** This is **true**.  Addressing the underlying low blood flow (e.g., dehydration) often resolves pre-renal azotemia.

The final answer is C. 
",C,0.9999853490123537,C,True
4778,Which is MC genetic cause of Mental Retardation,"Fragile-X syndrome is the most common genetic cause of mental retardation.  

The final answer is C. 
",C,0.9998212879048215,C,True
4779,What is diagnostic of fresh myocardial infarction in ECG :,"The classic ECG finding diagnostic of a fresh myocardial infarction (heart attack) is **ST segment elevation**. 

Here's why:

* **ST segment elevation** indicates damage to the heart muscle, as the electrical signal travels abnormally through the affected area.

Let's look at the other options:

* **QT interval prolongation** can be associated with various heart conditions, including myocardial infarction, but it's not specific to a fresh MI.
* **P mitrale** is a specific pattern seen in atrial fibrillation, not a feature of myocardial infarction.
* **ST segment depression** can occur in various heart conditions, including ischemia (reduced blood flow), but it's not as definitive a sign of a fresh MI as elevation.


The final answer is C",C,0.999998829471581,C,True
4780,Epiphora & lagopthalmous following VII nerveinjury is due to?,"Epiphora (excessive tearing) and lagophthalmos (inability to fully close the eyelids) following VII nerve injury occur due to **A: Failure of lacrimal pump**. 

Here's why:

* **The Lacrimal Pump:** The orbicularis oculi muscle, controlled by the facial nerve (cranial nerve VII), plays a crucial role in the ""lacrimal pump."" This pump helps to drain tears from the eye into the nasolacrimal duct. 
* **VII Nerve Injury:** Damage to the facial nerve paralyzes the orbicularis oculi muscle. This impairs the lacrimal pump, leading to a buildup of tears (epiphora) and an inability to fully close the eyelids (lagophthalmos).

Let me know if you have any other questions. 

The final answer is A. 
",A,0.9999875733379874,A,True
4781,All of the following are an example of Indicator media EXCEPT:,"Here's the reasoning:

* **Indicator media** are designed to reveal specific characteristics of bacteria based on their metabolic activities. They contain substances that change color in response to these activities.

* **Blood agar**, **EMB (Eosin methylene blue) agar**, and **MacConkey (MCK) agar** all contain indicators that change color based on factors like hemolysis (blood agar), lactose fermentation (EMB and MacConkey), or pH changes.

* **Stuart media** is a transport media used to maintain the viability of bacteria during transport to the lab. It doesn't contain indicators to differentiate bacterial types.


The final answer is D. 
",D,0.9999968874182048,D,True
4782,Inhibition of which of the following vitamin is caused by Isoniazid?,"Isoniazid is an anti-tuberculosis medication. A well-known side effect of isoniazid is its ability to inhibit the action of the vitamin **pyridoxine (vitamin B6)**. 

The final answer is B.  
",B,0.999999143838797,B,True
4783,Neuroblastoma arises from,"Neuroblastoma is a type of cancer that develops from immature nerve cells called neuroblasts. These cells are found in various parts of the body, with a high concentration in the adrenal glands. 

The final answer is A. 
",A,0.999983991763937,A,True
4784,The highest point of iliac crest is at the level of:,"The iliac crest is the highest bony prominence of the pelvis.  It runs laterally from the sacrum to the anterior superior iliac spine.

The highest point of the iliac crest aligns with the **L4-5** vertebral level. 


The final answer is C. 
",C,0.999990455445136,A,False
4785,During G.A. shivering is abolished by suppression of,"Shivering is a physiological response to cold, primarily controlled by the hypothalamus.  

The hypothalamus acts as the body's thermostat, regulating temperature.  

The other options are not directly involved in temperature regulation and shivering suppression.

The final answer is A.  
",A,0.9999923547240959,A,True
4786,Laparoscopy is best avoided in patients with :,"Laparoscopy is a minimally invasive surgical procedure that uses a small camera and instruments inserted through small incisions in the abdomen. 

**COPD (Chronic Obstructive Pulmonary Disease)** can make laparoscopy risky. Patients with COPD often have difficulty breathing, and general anesthesia, used for laparoscopy, can worsen their breathing problems.

The final answer is **D**. 
",,0.9998192825434358,D,
4787,Which of the following is true regarding deep inguinal ring:,"The correct answer is **D: It is traversed by ilioinguinal nerve**. Here's why:

* **Deep inguinal ring:** This is a weak point in the abdominal wall located deep to the superficial inguinal ring.  

* **Ilioinguinal nerve:** This nerve passes through the deep inguinal ring on its way to innervate the skin of the scrotum (in males) or labia majora (in females).

Let's look at why the other options are incorrect:

* **A: It lies one cm superior to the mid inguinal point:**  The deep inguinal ring is typically located *below* the mid-inguinal point.
* **B: It lies medial to interior epigastric artery:** The inferior epigastric artery passes *lateral* to the deep inguinal ring.
* **C: Opening in the transversus abdominis muscle:** The deep inguinal ring is an opening in the *conjoined tendon*, which is formed by the merging of the transversus abdominis and internal oblique muscles.


The final answer is D. 
",D,0.9998763762018642,A,False
4788,Trial of scar is contraindicated in all except:,"Here's the reasoning:

* **Trial of scar (TOLAC)** refers to attempting a vaginal birth after a previous cesarean section. 

*  The safety of TOLAC depends on various factors, with the risk of uterine rupture being a major concern.

Let's analyze each option:

* **A: History of previous classical cesarean section:**  Classical cesarean sections involve a vertical incision in the uterus, which significantly increases the risk of uterine rupture during TOLAC. This is a strong contraindication.
* **B: History of previous CS due to contracted pelvis:**  While contracted pelvis may have necessitated a previous cesarean, it doesn't necessarily preclude a successful TOLAC.  The uterus itself may have healed well.
* **C: Previous 3 LSCS:**  Three previous lower segment cesarean sections (LSCS) significantly increase the risk of uterine rupture. TOLAC is generally not recommended in this situation.
* **D: Previous history of LSCS (Indication malpresentation):**  A previous LSCS due to malpresentation (baby's position) is generally considered a lower risk scenario for TOLAC. The uterus has healed from a lower segment incision.

**The final answer is A** 


",A,0.9998249269483723,D,False
4789,Which of the following is a vasoconstrictor:,"Vasoconstrictors are substances that narrow blood vessels.  

* **Bupivacaine, Procaine, and Lidocaine** are all local anesthetics. While they do have some vasoconstrictive properties at high concentrations, their primary function is to block nerve impulses, not primarily constrict blood vessels. 

**Therefore, the best answer is D: None of the above.**

The final answer is D. 
",D,0.9670393430917883,D,True
4790,True about meningococcal meningitis is,"Here's the breakdown:

* **Meningococcal meningitis** is an infection of the membranes surrounding the brain and spinal cord caused by the bacterium *Neisseria meningitidis*.

Let's analyze the options:

* **A: Vaccine can be given in pregnancy:**  This is **true**. Some meningococcal vaccines can be given to pregnant women to help protect newborns.

* **B: Cases are the most important source of infection:** This is **true**.  People with meningococcal disease are highly contagious, and the bacteria spread through respiratory droplets.

* **C: Treatment with penicillin eradicates carrier state:** This is **false**. While penicillin is effective in treating meningococcal meningitis, it doesn't always completely eliminate the bacteria from the carrier's respiratory tract.

* **D: Causative agent is a gram –ve diplococci:** This is **true**.  *Neisseria meningitidis* is a gram-negative bacterium that appears in pairs (diplococci) under a microscope.


The final answer is **A**  
",,0.9978047756802443,D,
4791,Infeility in Kaagener syndrome is due to?,"Klinefelter syndrome is characterized by an extra X chromosome in males (XXY). This genetic anomaly can lead to various health issues, including infertility.  

The most common cause of infertility in Klinefelter syndrome is **A: Oligospermia**.  Oligospermia refers to a low sperm count, which is a frequent consequence of hormonal imbalances associated with Klinefelter syndrome.

Let's look at why the other options are less likely:

* **B: Blockage of epididymis:** While epididymal blockages can cause infertility, they are not directly linked to Klinefelter syndrome.
* **C: Asthenospermia:** Asthenospermia refers to weak or poorly motile sperm. This can occur in Klinefelter syndrome, but oligospermia is a more primary and common cause of infertility.
* **D: Undescended testis:** Undescended testicles can lead to infertility, but it's not a defining characteristic of Klinefelter syndrome.


The final answer is A. 
",A,0.9909681714431465,C,False
4792,Amyloid material can be best diagnosed by:,"Amyloid material is characterized by its distinctive fibrillar structure.  

* **Electron microscopy** (B) provides the highest resolution and can clearly visualize these fibrils. 

The other options are not suitable for diagnosing amyloid:

* **Polarized microscopy** is useful for identifying birefringence in some amyloid forms, but it's not definitive.
* **X-ray crystallography** determines the 3D structure of molecules, which is not the primary diagnostic tool for amyloid.
* **Scanning electron microscopy** provides surface topography information, but it may not reveal the fine fibrillar details characteristic of amyloid.


The final answer is B. 
",B,0.9999709898159568,A,False
4793,Ivacaftor was approved by FDA in 2018 for,"Ivacaftor is a medication specifically designed to treat cystic fibrosis. 

The final answer is A. 
",A,0.9996839028276997,A,True
4794,An injury which involves dislocation of the distal radioulnar joint and fracture of the radial head is called?,"Here's the breakdown:

* **Galeazzi fracture:** This involves a fracture of the radius along with dislocation of the distal radioulnar joint. 
* **Monteggia's fracture:** This involves a fracture of the ulna along with dislocation of the radial head.
* **Essex-Lopresti injury:** This is a complex injury involving a fracture of the radius, disruption of the interosseous membrane, and dislocation of the distal radioulnar joint.
* **Barton's fracture:** This is a fracture of the distal radius that extends into the articular surface, often associated with wrist dislocation.

The question describes a dislocation of the distal radioulnar joint *and* a fracture of the radial head.  This most closely matches the description of a **Galeazzi fracture**.

The final answer is A. 


",A,0.9825082049734783,C,False
4795,True about Dextrain -,"Here's the breakdown:

* **Dextran** is a synthetic polysaccharide used in medicine, often as a blood volume expander and to improve blood flow.

Let's analyze the options:

* **A: Cause Rouleaux formation:**  Dextran can actually *prevent* rouleaux formation. Rouleaux formation is the stacking of red blood cells, which can hinder blood flow. Dextran's large size helps keep the red blood cells separated.

* **B: Impair factor VIIIO function:** Dextran doesn't directly impair factor VIII function. Factor VIII is a clotting factor, and while dextran can affect blood clotting in general (by increasing blood volume), it doesn't specifically target factor VIII.

* **C: Sugar level:** Dextran is not related to sugar levels.

* **D: Improve microcirculation:** This is a key benefit of dextran. Its ability to increase blood volume and prevent rouleaux formation helps improve blood flow, especially in smaller blood vessels (microcirculation).

**The final answer is D** 
",D,0.999981769477767,A,False
4796,Monoamniotic monochorionic twins develop if division occurs after:,"Monoamniotic monochorionic twins share the same amniotic sac. This occurs when the division of the fertilized egg happens later in development. 

Here's why the answer is **B: 1-3 days**:

* **Early Division (within 24 hours):**  Twins would likely develop separate amniotic sacs and chorions.
* **Later Division (8 days or 14 days):** The embryo would be more developed, and separating the amniotic sacs would be more difficult.

Division between 1-3 days allows for the formation of a single chorion and amniotic sac, leading to monoamniotic monochorionic twins. 


The final answer is B. 
",B,0.9989751974647153,C,False
4797,Which investigation is not done in FIGO staging of CA cervix:,"FIGO (International Federation of Gynecology and Obstetrics) staging for cervical cancer focuses on assessing the extent of the tumor's spread within the pelvis and to regional lymph nodes.  

Let's analyze the options:

* **A: Cystoscopy:**  While not routinely done in all cases, cystoscopy can be used to assess for bladder involvement, which is relevant to FIGO staging.
* **B: Chest X-ray:**  A chest X-ray is important to rule out distant metastasis to the lungs, a factor in FIGO staging.
* **C: Pelvic ultrasound:** Pelvic ultrasound is a standard investigation used in FIGO staging to assess the size and extent of the cervical tumor, as well as involvement of nearby structures like the uterus and ovaries.
* **D: IVP (Intravenous Pyelogram):**  IVP is used to visualize the urinary tract, including the kidneys, ureters, and bladder.  While it can help detect ureteral obstruction caused by tumor, it's not a primary investigation in FIGO staging.

 **The final answer is D** 


",D,0.9997266899743551,C,False
4798,Corpus luteum salvage hormone is:,"The corpus luteum produces progesterone, a hormone crucial for maintaining early pregnancy.  

* **hCG (human chorionic gonadotropin)** is the hormone produced by the placenta that signals the corpus luteum to continue producing progesterone. 

The other options are incorrect:

* **FSH (follicle-stimulating hormone)** stimulates follicle growth in the ovaries.
* **AFP (alpha-fetoprotein)** is a protein produced during pregnancy, primarily by the fetus.
* **Estrogen** is produced by the ovaries, but primarily by the placenta later in pregnancy.


The final answer is A. 
",A,0.9856894307153101,A,True
4799,The clinical features associated with coarctation of aoa in older children are the following except ?,"Here's the reasoning:

* **Coarctation of the aorta** is a narrowing of the aorta, the main artery carrying blood from the heart. This narrowing restricts blood flow to the lower body.

Let's analyze each option:

* **A: Upper body hypertension:**  Correct.  Because the narrowing restricts blood flow below the coarctation, blood pressure in the upper body will be higher than in the lower body.
* **B: Prominent pulsation in neck:** Correct.  The narrowed aorta forces the heart to work harder, leading to a stronger pulse that can be felt more prominently in the neck.
* **C: Fatiguableness, tiredness in leg:** Correct. The reduced blood flow to the legs can cause muscle fatigue and tiredness.
* **D: Absence of flow murmurs over scapular region:** Incorrect. A characteristic finding in coarctation of the aorta is a **difference in the intensity of the murmur** heard over the back. There is usually a **stronger murmur heard over the upper back** due to the turbulent blood flow before the narrowing, and a **weaker or absent murmur over the lower back** due to the reduced blood flow downstream.

The final answer is D. 


",D,0.9973959011503203,D,True
4800,"30 year male with chronic diarrhoea, anemis, raised liver enzymes. Most likely associated with-","Here's the reasoning:

* **Chronic diarrhoea, anemia, and raised liver enzymes** suggest a systemic autoimmune condition affecting multiple organs.

Let's look at the antibodies:

* **Antimitochondrial antibody (AMA)** is strongly associated with **primary biliary cholangitis (PBC)**, a disease that primarily affects the liver, leading to inflammation and damage of the bile ducts.  Symptoms often include chronic diarrhoea, fatigue, jaundice, and elevated liver enzymes.

* **Anti-endomysial antibody (EMA)** is characteristic of **celiac disease**, an autoimmune reaction to gluten. While it can cause diarrhoea, it's less likely to cause significant liver enzyme elevation.

* **Anti-smooth muscle antibody (ASMA)** is associated with **autoimmune hepatitis** and can cause liver inflammation, but it's less specific to the presented symptoms. 

* **Antinuclear antibody (ANA)** is a broad marker found in many autoimmune diseases but isn't specific enough to pinpoint the likely diagnosis in this case.


**The final answer is A** 
",A,0.9999475539644448,B,False
4801,Gartner's duct cyst is associated with all except,"Gartner's duct cysts are remnants of the Wolffian duct, which normally regresses during fetal development.  Here's why the correct answer is **C: Bartholin cyst**:

* **Gartner's duct cysts** are located in the labia majora or vaginal wall.
* **Bartholin cysts** are located in the Bartholin's glands, which are separate structures near the vaginal opening.

Let's look at why the other options are associated with Gartner's duct cysts:

* **Ipsilateral renal hypoplasia (A):**  There's a known association between Gartner's duct cysts and abnormalities in the development of the kidneys on the same side.
* **Ectopic ureter (B):** An ectopic ureter, where the ureter opens improperly, can also occur alongside Gartner's duct cysts.
* **Metanephric anomalies (D):** Metanephric anomalies are developmental issues with the kidneys, and Gartner's duct cysts are sometimes linked to these.


The final answer is C. 
",C,0.9997244864133937,C,True
4802,The masseteric notch in distobuccal corners of the mandibular denture is due to,"The masseter muscle is responsible for closing the jaw.  Its attachment point on the mandible creates a noticeable notch in the distobuccal corner of the denture base.

The masseter muscle directly affects the shape of the denture, not the buccinator. 

The final answer is **B**. 
",,0.025404256424339786,B,
4803,The drug acamprosate is therapeutically used for:,"Acamprosate is a medication that helps reduce alcohol cravings and the likelihood of relapse in individuals who are trying to maintain sobriety. 

The final answer is D. 
",D,0.9999995640577911,D,True
4804,Primary hyperaldosteronism presents with all of the following except-,"Here's the reasoning:

* **Primary hyperaldosteronism** is a condition where the adrenal glands produce too much aldosterone. Aldosterone is a hormone that regulates salt and water balance, leading to high blood pressure.

Let's analyze the options:

* **A: Hypertension:**  This is a classic symptom of primary hyperaldosteronism due to aldosterone's effect on blood pressure.
* **B: Hyperkalemia:**  Aldosterone promotes potassium excretion, so hyperaldosteronism typically leads to *hypokalemia* (low potassium), not hyperkalemia (high potassium).
* **C: Periodic paralysis:**  This can be associated with hypokalemia, making it a possible complication of primary hyperaldosteronism.
* **D: Frontal headache:**  While headaches can be a symptom of high blood pressure, they aren't specifically linked to primary hyperaldosteronism.


The final answer is **B**.",,0.9998376586139193,B,
4805,"An addict presents with increased sweating, lacrimation, diarrhea, yawning and rhinorrhea. These symptoms may occur due to withdrawal of ?","The symptoms described – increased sweating, lacrimation (excessive tearing), diarrhea, yawning, and rhinorrhea (runny nose) – are classic signs of opioid withdrawal.  

**Heroin** is a powerful opioid. 

The final answer is A.  
",A,0.9999413968883789,A,True
4806,Which of the following is detected in peripheral blood smear -,"A peripheral blood smear is a microscopic examination of your blood. It can detect various parasites, including those causing malaria.

Here's why the other options are incorrect:

* **B: Toxoplasma:**  Toxoplasmosis is usually diagnosed through blood tests looking for antibodies, not by direct visualization on a blood smear.
* **C: Babesia:** While Babesia can sometimes be detected on a blood smear, it's not as common as malaria. 
* **D: Brucella:** Brucellosis is a bacterial infection diagnosed through blood cultures and serological tests, not through blood smears.


The final answer is A.",A,0.9998262563486245,A,True
